(주)엘지유플러스	(주)엘지유플러스	1.208.0.0	1.223.255.255	
주식회사 케이티	NoAssign	1.97.92.59	1.97.92.59	
주식회사 씨제이헬로비전	NoAssign	1.176.15.227	1.176.15.227	
(주)엘지유플러스	(주)엘지유플러스	1.212.208.0	1.212.239.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.224.48.0	1.224.63.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.224.112.0	1.224.127.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.225.48.0	1.225.63.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.226.32.0	1.226.47.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.226.128.0	1.226.143.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.227.160.0	1.227.167.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.228.48.0	1.228.63.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.230.80.0	1.230.95.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.230.112.0	1.230.143.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.237.48.0	1.237.63.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.238.16.0	1.238.31.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.242.32.0	1.242.47.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.244.32.0	1.244.47.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.247.112.0	1.247.127.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.251.16.0	1.251.31.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.251.144.0	1.251.159.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.252.48.0	1.252.79.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.252.144.0	1.252.159.255	
에스케이브로드밴드주식회사	에스케이브로드밴드주식회사	1.252.208.0	1.252.223.255	
(주)씨앤앰강남케이블티브이	(주)씨앤앰강남케이블티브이	27.1.64.0	27.1.79.255	
주식회사 현대에이치씨엔	(주)HCN동작방송	27.35.16.0	27.35.31.255	
주식회사 현대에이치씨엔	(주)서초케이블티브이방송	27.35.40.0	27.35.47.255	
주식회사 현대에이치씨엔	경북방송	27.35.112.0	27.35.127.255	
주식회사 현대에이치씨엔	주식회사 현대에이치씨엔	27.35.48.0	27.35.63.255	
(주)티브로드동남방송		27.115.192.0	27.115.255.255	
